Run Name,BCD348/532DEDDL,gf1+2,2014/11/19
Run Date,01:59:44 PM   11-19-14
Method Name,GF.3_0.35
Export Format Version, 1.00
Method ID, 4405
Points/Second, 5.00
Number of Records,  18055
Offset from Run Start Time,00:00:00
Run End Time,01:00:12
Time,Second
UV,AU,
Trace 2,<Not Selected>
Gradient Pump,<Not Selected>
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Selected>
Time,UV
   188.0,0.105672
   188.2,0.105563
   188.4,0.105451
   188.6,0.105341
   188.8,0.105233
   189.0,0.105114
   189.2,0.104994
   189.4,0.104871
   189.6,0.104741
   189.8,0.104615
   190.0,0.104486
   190.2,0.104373
   190.4,0.104264
   190.6,0.104162
   190.8,0.104051
   191.0,0.103930
   191.2,0.103814
   191.4,0.103705
   191.6,0.103595
   191.8,0.103487
   192.0,0.103381
   192.2,0.103266
   192.4,0.103134
   192.6,0.103014
   192.8,0.102894
   193.0,0.102769
   193.2,0.102648
   193.4,0.102544
   193.6,0.102432
   193.8,0.102311
   194.0,0.102199
   194.2,0.102085
   194.4,0.101960
   194.6,0.101841
   194.8,0.101741
   195.0,0.101629
   195.2,0.101514
   195.4,0.101396
   195.6,0.101281
   195.8,0.101158
   196.0,0.101033
   196.2,0.100915
   196.4,0.100797
   196.6,0.100684
   196.8,0.100580
   197.0,0.100470
   197.2,0.100354
   197.4,0.100251
   197.6,0.100154
   197.8,0.100048
   198.0,0.099941
   198.2,0.099822
   198.4,0.099711
   198.6,0.099609
   198.8,0.099504
   199.0,0.099384
   199.2,0.099265
   199.4,0.099152
   199.6,0.099043
   199.8,0.098924
   200.0,0.098794
   200.2,0.098671
   200.4,0.098550
   200.6,0.098443
   200.8,0.098339
   201.0,0.098222
   201.2,0.098091
   201.4,0.097975
   201.6,0.097862
   201.8,0.097741
   202.0,0.097620
   202.2,0.097497
   202.4,0.097384
   202.6,0.097273
   202.8,0.097167
   203.0,0.097064
   203.2,0.096954
   203.4,0.096840
   203.6,0.096737
   203.8,0.096627
   204.0,0.096515
   204.2,0.096409
   204.4,0.096301
   204.6,0.096197
   204.8,0.096086
   205.0,0.095977
   205.2,0.095858
   205.4,0.095737
   205.6,0.095622
   205.8,0.095524
   206.0,0.095413
   206.2,0.095307
   206.4,0.095204
   206.6,0.095101
   206.8,0.094991
   207.0,0.094884
   207.2,0.094779
   207.4,0.094668
   207.6,0.094564
   207.8,0.094458
   208.0,0.094352
   208.2,0.094240
   208.4,0.094130
   208.6,0.094016
   208.8,0.093901
   209.0,0.093790
   209.2,0.093683
   209.4,0.093577
   209.6,0.093468
   209.8,0.093362
   210.0,0.093244
   210.2,0.093123
   210.4,0.093006
   210.6,0.092889
   210.8,0.092781
   211.0,0.092681
   211.2,0.092571
   211.4,0.092459
   211.6,0.092340
   211.8,0.092230
   212.0,0.092128
   212.2,0.092025
   212.4,0.091926
   212.6,0.091823
   212.8,0.091708
   213.0,0.091596
   213.2,0.091487
   213.4,0.091371
   213.6,0.091260
   213.8,0.091150
   214.0,0.091052
   214.2,0.090952
   214.4,0.090842
   214.6,0.090722
   214.8,0.090603
   215.0,0.090486
   215.2,0.090375
   215.4,0.090259
   215.6,0.090155
   215.8,0.090053
   216.0,0.089950
   216.2,0.089845
   216.4,0.089732
   216.6,0.089605
   216.8,0.089489
   217.0,0.089390
   217.2,0.089296
   217.4,0.089193
   217.6,0.089088
   217.8,0.088989
   218.0,0.088875
   218.2,0.088755
   218.4,0.088635
   218.6,0.088515
   218.8,0.088406
   219.0,0.088310
   219.2,0.088211
   219.4,0.088099
   219.6,0.087986
   219.8,0.087877
   220.0,0.087780
   220.2,0.087684
   220.4,0.087588
   220.6,0.087492
   220.8,0.087406
   221.0,0.087317
   221.2,0.087220
   221.4,0.087103
   221.6,0.086986
   221.8,0.086874
   222.0,0.086768
   222.2,0.086671
   222.4,0.086565
   222.6,0.086459
   222.8,0.086354
   223.0,0.086250
   223.2,0.086131
   223.4,0.086015
   223.6,0.085903
   223.8,0.085813
   224.0,0.085720
   224.2,0.085629
   224.4,0.085533
   224.6,0.085426
   224.8,0.085316
   225.0,0.085205
   225.2,0.085104
   225.4,0.085005
   225.6,0.084910
   225.8,0.084810
   226.0,0.084709
   226.2,0.084603
   226.4,0.084491
   226.6,0.084378
   226.8,0.084272
   227.0,0.084175
   227.2,0.084084
   227.4,0.083982
   227.6,0.083873
   227.8,0.083764
   228.0,0.083659
   228.2,0.083561
   228.4,0.083454
   228.6,0.083342
   228.8,0.083242
   229.0,0.083146
   229.2,0.083047
   229.4,0.082940
   229.6,0.082832
   229.8,0.082734
   230.0,0.082634
   230.2,0.082525
   230.4,0.082417
   230.6,0.082308
   230.8,0.082206
   231.0,0.082109
   231.2,0.082005
   231.4,0.081891
   231.6,0.081777
   231.8,0.081675
   232.0,0.081568
   232.2,0.081461
   232.4,0.081361
   232.6,0.081266
   232.8,0.081168
   233.0,0.081075
   233.2,0.080986
   233.4,0.080892
   233.6,0.080806
   233.8,0.080730
   234.0,0.080656
   234.2,0.080574
   234.4,0.080479
   234.6,0.080368
   234.8,0.080253
   235.0,0.080148
   235.2,0.080049
   235.4,0.079939
   235.6,0.079828
   235.8,0.079722
   236.0,0.079618
   236.2,0.079502
   236.4,0.079386
   236.6,0.079279
   236.8,0.079186
   237.0,0.079098
   237.2,0.079001
   237.4,0.078902
   237.6,0.078804
   237.8,0.078716
   238.0,0.078614
   238.2,0.078509
   238.4,0.078405
   238.6,0.078310
   238.8,0.078215
   239.0,0.078121
   239.2,0.078023
   239.4,0.077931
   239.6,0.077837
   239.8,0.077737
   240.0,0.077644
   240.2,0.077552
   240.4,0.077459
   240.6,0.077360
   240.8,0.077254
   241.0,0.077146
   241.2,0.077034
   241.4,0.076928
   241.6,0.076826
   241.8,0.076725
   242.0,0.076625
   242.2,0.076530
   242.4,0.076430
   242.6,0.076316
   242.8,0.076216
   243.0,0.076127
   243.2,0.076048
   243.4,0.075970
   243.6,0.075880
   243.8,0.075781
   244.0,0.075679
   244.2,0.075579
   244.4,0.075484
   244.6,0.075390
   244.8,0.075295
   245.0,0.075206
   245.2,0.075119
   245.4,0.075026
   245.6,0.074922
   245.8,0.074821
   246.0,0.074732
   246.2,0.074646
   246.4,0.074560
   246.6,0.074474
   246.8,0.074387
   247.0,0.074296
   247.2,0.074209
   247.4,0.074124
   247.6,0.074040
   247.8,0.073947
   248.0,0.073853
   248.2,0.073758
   248.4,0.073668
   248.6,0.073579
   248.8,0.073491
   249.0,0.073403
   249.2,0.073306
   249.4,0.073212
   249.6,0.073108
   249.8,0.073010
   250.0,0.072917
   250.2,0.072835
   250.4,0.072750
   250.6,0.072661
   250.8,0.072559
   251.0,0.072452
   251.2,0.072349
   251.4,0.072245
   251.6,0.072162
   251.8,0.072075
   252.0,0.071982
   252.2,0.071892
   252.4,0.071800
   252.6,0.071800
   252.8,0.071618
   253.0,0.071526
   253.2,0.071443
   253.4,0.071362
   253.6,0.071279
   253.8,0.071194
   254.0,0.071109
   254.2,0.071023
   254.4,0.070953
   254.6,0.070874
   254.8,0.070779
   255.0,0.070684
   255.2,0.070594
   255.4,0.070510
   255.6,0.070418
   255.8,0.070329
   256.0,0.070246
   256.2,0.070164
   256.4,0.070073
   256.6,0.069985
   256.8,0.069896
   257.0,0.069806
   257.2,0.069725
   257.4,0.069637
   257.6,0.069549
