seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
16.6953,119.632,-0.528814,9.28894,3.6347,0.130452,0.0880016,-0.0523742
16.7549,119.357,-0.801595,9.03769,3.64666,0.140531,0.0553203,-0.119569
16.8125,119.589,-1.12702,9.09512,3.39542,0.0962434,-0.0179835,-0.0642861
16.9414,119.758,-1.05523,9.10948,3.10349,0.0898293,-0.0967851,0.0349795
17.002,119.642,-1.02891,9.03769,3.04606,0.0131658,-0.0277573,0.0307034
17.0605,119.589,-0.825524,9.19323,3.08195,-0.0167666,-0.0369204,0.0456696
17.1201,119.505,-0.882952,9.25544,3.31884,-0.0387577,-0.0121803,-0.0135843
17.1797,119.357,-0.839881,9.26262,3.26381,-0.0155449,0.0180575,-0.00258873
17.2383,119.484,-0.878166,9.15733,3.47677,0.00919515,-0.0231758,0.0511674
17.2979,119.515,-0.914058,9.11426,3.4672,-0.00699276,0.00767279,0.00626881
17.5146,119.896,-0.442672,8.99941,3.06281,-0.0790748,-0.013402,0.0285654
17.5742,119.801,-0.466601,8.77687,3.32842,-0.132526,0.0791441,-0.0258016
17.6318,119.684,-0.545564,8.87019,3.40738,-0.119392,0.00584024,-0.0884152
17.6914,119.706,-0.519243,8.41795,3.47677,0.0287428,0.0440193,0.0407827
17.8145,119.727,-0.736989,8.42752,3.3356,0.0400438,0.040965,0.0554435
17.873,119.737,-0.792024,8.92044,3.08913,0.0421819,0.265152,-0.184321
17.9326,119.547,-0.526421,9.0018,3.34038,0.032408,0.235525,-0.38102
18.0615,119.727,-2.10329,9.54018,3.18963,-0.234235,0.17902,-0.24388
18.1221,119.875,-2.17986,9.15494,3.84048,-0.199721,0.431919,-0.19776
18.1797,119.885,-2.01954,8.7027,3.96012,-0.22385,0.347925,-0.170271
18.2393,119.758,-1.7994,8.65245,3.80937,-0.154211,0.22789,-0.151945
18.2969,119.367,-1.6343,8.13799,3.80937,-0.026235,0.377246,-0.144004
18.3564,119.568,-1.64865,8.12842,3.74237,0.166493,0.456964,-0.265566
18.417,119.568,-2.49571,8.41077,3.64905,0.208032,0.566614,-0.451575
18.4756,119.42,-3.06042,8.28874,3.89073,0.162828,0.611818,-0.346506
18.6914,119.547,-3.87877,8.64288,3.15135,0.192455,0.326239,-0.300996
18.75,119.452,-4.11087,8.53759,2.71107,0.126481,0.153364,-0.216697
18.8086,119.441,-4.27597,8.43231,2.27557,-0.012796,0.212923,-0.159581
18.8682,119.621,-4.14198,8.21695,2.24925,-0.0289839,0.255073,-0.13087
18.9277,119.346,-4.25444,8.12842,2.333,-0.420854,0.259349,-0.231052
18.9873,119.093,-4.42194,8.0327,2.83071,-0.617552,0.208342,-0.1944
19.1143,119.336,-4.67079,7.41775,3.17767,-0.685664,0.363196,-0.284198
19.2422,119.029,-5.29532,7.22633,3.49591,-0.525006,0.536987,-0.54351
19.3027,119.315,-5.73799,6.76212,3.40977,-0.430017,0.625563,-0.528238
19.3613,118.987,-5.85045,6.95354,3.70887,-0.492325,0.743154,-0.425918
19.4209,119.145,-6.70947,6.57548,4.04148,-0.539361,0.642361,-0.451575
19.4795,118.945,-6.74537,6.08256,4.13001,-0.462393,0.589827,-0.172409
19.5391,118.945,-6.48694,5.45325,3.58923,-0.261723,0.671988,-0.171493
19.5986,119.029,-6.72622,5.37667,3.34517,-0.0812128,0.963066,-0.438441
19.6582,118.945,-7.08515,6.02513,2.95753,-0.091903,0.717192,-0.316268
19.874,119.071,-6.42951,6.36012,1.78744,-0.166123,0.505833,-0.0997163
19.9346,119.325,-6.88415,6.46301,2.08176,-0.179868,0.465822,-0.374606
19.9922,119.209,-7.14258,5.95813,2.05304,-0.0555565,0.419396,-0.190124
20.0518,119.241,-7.50389,6.85065,1.94058,-0.143216,0.366556,-0.0319103
20.1113,119.188,-7.06122,6.44387,2.06022,-0.267527,0.0855581,0.157763
20.1709,119.008,-7.20958,5.84567,2.18943,-0.60167,0.187573,-0.0749762
20.2305,118.955,-7.8006,6.54916,2.37607,-0.552801,0.158556,0.151349
20.3574,119.219,-10.5476,13.1845,0.734597,0.509494,0.244078,0.0135992
20.458,119.251,-14.7613,19.3029,0.445065,0.611203,0.146645,0.0258165
20.5176,119.272,-20.9276,26.5532,4.32383,0.737957,-1.31699,0.392336
20.5771,118.945,-26.8738,46.7031,14.6273,-0.360073,-3.44188,0.990372
20.6455,119.209,-7.51586,22.4758,6.98944,-0.162152,6.08089,1.89995
20.7041,119.431,3.74955,1.64387,1.06002,-1.11296,10.1688,1.4137
20.7637,120.097,1.8664,0.239282,0.177069,-1.60715,10.1685,-1.06366
20.9795,121.249,0.0574278,-0.959522,-0.655633,0.875096,-9.8468,1.65438
21.0381,121.375,-0.122034,-0.875773,0.701097,2.0956,-9.8468,-0.080474
21.0957,121.481,0.741775,-0.141177,0.270389,1.16526,-9.8468,-1.78082
21.1553,121.523,0.684347,0.136391,-0.583849,-0.356713,-9.8468,-2.01386
21.2148,121.65,-0.0191426,-0.0885344,-1.11506,-1.0928,-9.83641,-1.28602
21.2744,121.513,-0.598206,-0.0646062,-0.552742,-1.24613,-7.1086,-0.702029
21.334,121.714,-0.61017,0.0191426,-0.0358923,-1.19299,-4.8542,-0.282059
21.3936,122.041,-1.74915,-0.0693919,0.303889,-1.03447,-2.11691,-0.225554
21.5186,121.693,-1.47876,0.160319,-0.490529,1.47222,10.1685,-0.974781
21.5791,121.83,-5.30489,-0.107677,-1.21316,2.29047,10.1688,-0.0245799
21.6367,121.122,2.59143,0.323031,1.48594,1.40349,10.1688,2.59145
21.7295,119.843,2.34975,-1.69173,-7.13061,-1.04302,1.25536,3.15894
21.7891,119.706,1.61755,-0.48335,-15.819,2.916,2.11302,3.93657
21.8486,119.452,-5.70928,-0.174676,0.191426,4.27578,-7.94151,1.85688
21.9082,118.733,-5.37667,-3.34756,3.32124,3.92453,-5.06312,-2.0102
22.123,119.145,-6.84587,-10.739,-9.40379,-3.80382,10.1688,3.19987
22.1836,118.712,14.3163,-7.25025,3.30688,-1.87166,8.57383,-0.280227
22.2412,118.564,0.0933201,-9.07119,1.56491,-0.0115743,-9.8468,2.17576
22.3008,118.194,-7.60678,-12.0359,14.479,-0.98682,10.1248,0.613774
22.3604,117.909,-5.24746,-9.28176,-0.394816,-1.27454,10.1688,-4.30491
22.4209,117.391,12.5575,-11.9474,-10.1145,0.240713,-9.48547,-3.40755
22.4795,116.979,6.44148,-14.2684,3.12981,0.962145,-7.42716,-1.57709
22.5391,116.799,4.90768,-14.1607,6.51566,-1.91595,-9.8468,-0.0285505
22.6631,116.302,6.04906,-5.78824,-1.78265,-2.50482,10.1688,-0.0499308
22.7236,116.461,9.43251,-5.18046,-3.42652,-2.03201,-4.65506,0.989151
22.7813,115.827,7.18565,-3.99841,-5.39821,-0.13955,-0.175281,2.95705
22.8408,115.7,4.68754,-3.37388,-4.8335,0.367162,8.46571,4.3483
22.9004,115.235,3.23031,-6.84108,-8.78645,0.402592,6.981,5.5575
23.001,114.78,-0.562313,-7.21436,-9.18605,3.21865e-05,4.50486,5.60882
23.0596,114.569,-1.80658,-10.9424,-10.794,0.62006,10.1688,5.15739
23.2754,114.622,-3.5007,-5.19003,-7.67139,-1.03569,-0.662141,0.926537
23.3359,114.601,-4.06062,-5.13021,-6.82194,-1.01584,-0.385113,0.653786
23.3945,114.421,-3.49113,-4.59661,-7.99203,-1.05646,0.263625,0.45892
23.4521,114.548,-2.21097,-4.08694,-7.21197,-1.14412,0.884569,0.336747
23.5117,114.315,-1.63908,-2.91924,-6.82673,-1.43092,0.471625,0.315977
23.5713,114.358,-1.82812,-1.25384,-6.92483,-1.79286,0.454826,0.297651
23.6309,114.252,-1.31366,0.358923,-2.26122,-2.73389,2.35675,0.278715
23.6904,114.093,-2.93839,0.562313,-20.3533,-1.73727,1.23673,-0.508385
23.8242,114.241,2.09851,0.131605,-8.61895,-0.228737,1.336,-0.775333
23.8848,114.241,3.05563,0.48335,-11.1051,-0.0277622,1.76727,-0.779609
23.9434,113.998,4.86222,0.602991,-7.75514,0.119151,1.60967,-0.65652
24.002,113.967,7.17847,0.660419,-8.45384,0.0382113,0.408095,-0.317184
24.0615,114.21,5.46042,0.5001,-8.31028,-0.0207372,-0.240033,0.0383392
24.1211,113.945,3.58684,0.547956,-8.87737,0.00125392,-0.081208,0.0322306
24.1807,114.125,4.45544,0.519243,-8.61177,0.00583538,0.00461847,0.00168732
24.4561,114.41,4.37647,0.591027,-8.66441,-0.00241128,0.0104217,0.00321448
24.5166,114.506,4.38844,0.583849,-8.70987,-0.00149499,0.00278592,0.00321448
24.5752,114.4,4.33819,0.57667,-8.67159,-0.000884101,0.0122543,0.0041308
24.6348,114.474,4.35254,0.559921,-8.66441,-0.00241128,0.0140869,0.00351991
24.6943,114.484,4.36212,0.574277,-8.7027,-0.00241128,0.0131707,0.00474165
24.7539,114.305,4.34297,0.588634,-8.67638,0.00064306,0.00797826,0.00107646
24.8135,114.231,4.36451,0.581456,-8.65005,-0.000578672,-0.000573874,-0.001367
24.9473,114.368,4.34537,0.586242,-8.65245,0.00186478,0.00584024,-0.00197788
25.0078,114.4,4.38604,0.559921,-8.67398,0.00308652,0.00675654,-0.00197788
25.0664,114.114,4.36929,0.586242,-8.68595,-0.00241128,0.0101163,0.00107646
25.126,114.178,4.35254,0.526421,-8.64288,0.00217021,0.0101163,-0.00197788
25.1855,114.03,4.39083,0.583849,-8.71706,0.00125392,0.00553483,0.00138189
25.2432,113.998,4.38844,0.569492,-8.65723,-0.00424387,0.013476,0.00687967
25.3008,114.009,4.36929,0.567099,-8.67398,3.21865e-05,0.0119489,0.00260362
25.5234,114.41,4.37169,0.571885,-8.66681,0.00644627,0.00919998,0.000771031
25.584,114.442,4.36212,0.567099,-8.65005,0.00644627,0.00339675,-0.00258873
25.6426,114.368,4.38126,0.569492,-8.67159,0.00278109,0.00858915,-0.00106157
25.7607,114.262,4.34776,0.586242,-8.66202,0.00491911,0.00522935,-0.00167245
25.8193,114.294,4.36929,0.567099,-8.65005,0.00430824,0.00278592,-0.001367
