seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
14.3076,91.0105,-0.552742,9.57368,-0.0263211,0.00614083,-0.865864,-0.0569557
14.3672,90.8836,0.409173,9.1669,0.179462,0.0336298,1.03148,0.0114612
14.4268,90.8308,0.0167498,9.76032,-0.397209,0.00858429,0.465211,0.00901771
14.5596,89.6576,-0.0741775,7.94657,-0.0478565,0.0623404,0.409622,0.0279545
14.6201,91.1056,0.739382,9.64786,-0.136391,0.0238559,0.0980808,0.00107646
14.6787,90.2706,0.552742,9.78904,-0.457029,0.00308652,0.283173,0.0310088
14.7383,91.0844,0.368495,9.54736,-0.734597,0.00186478,-0.00759882,-0.00319959
14.7979,91.1162,0.105284,9.44926,0.256032,-0.0072982,-0.314864,-0.01053
14.9316,90.9471,-0.586242,9.66461,2.89532,-0.026235,-0.708872,-0.0508471
14.9922,90.8414,-0.148355,10.2485,-1.23709,0.0153038,0.651525,0.098204
15.2168,91.1902,-0.27996,10.2437,0.461815,-0.0659412,-0.412602,0.11653
15.2773,91.0633,0.607777,10.057,0.31346,-0.0366197,-0.236673,0.084765
15.335,91.0739,0.760918,9.77707,0.332602,-0.0152394,-0.0778483,-0.00869739
15.3945,90.9365,-0.39003,9.77229,0.370888,0.0159146,0.424894,0.0041308
15.4541,90.8942,-0.0550349,9.69093,0.68674,0.0482905,-0.160926,0.0181807
15.5137,90.9893,0.9667,9.72204,0.160319,0.0739469,-0.107781,-0.033132
15.5723,90.9153,0.571885,9.68615,-0.0334995,0.0892185,0.251408,-0.0789469
15.7012,90.8836,-0.244068,9.72443,-0.196212,0.0153038,-0.0198161,-0.033132
15.7617,91.2007,-0.0191426,9.76272,-0.559921,-0.00241128,0.03394,-0.0178604
15.8203,90.8836,-0.0358923,9.7364,-0.40678,-0.0525022,0.0669267,-0.0172495
15.8799,90.7145,-0.404387,9.74357,-0.184247,-0.0781585,0.0638724,-0.00686479
15.9395,90.7568,-0.363709,9.73161,0.339781,-0.0751042,-0.0918981,0.0328414
15.999,91.0105,0.239282,9.82493,0.430708,-0.0378415,-0.109002,0.0365066
16.0586,90.9259,0.380459,9.78186,0.212961,0.00369738,-0.0497485,-0.000756145
16.2822,90.9471,0.00478565,9.75076,-0.315853,0.0440145,0.065705,-0.0367972
16.418,91.1373,-0.272782,9.75076,-0.289532,0.0116386,0.0180575,-0.0172495
16.4775,91.2007,-0.0550349,9.71486,-0.275175,-0.0231807,-0.0106531,0.0041308
16.5371,91.169,0.0502493,9.73161,-0.189033,-0.0439501,-0.0277573,0.00290905
16.5967,91.0105,0.0119641,9.76751,0.00478565,-0.0622761,-0.0161509,-0.000756145
16.6563,90.9153,-0.148355,9.71965,0.294317,-0.0518913,-0.0179835,0.00596337
16.7852,91.0739,0.196212,9.73879,0.397209,0.00797343,-0.0002684,0.00474165
16.8457,91.2113,0.0837488,9.72443,0.265603,0.0379058,0.0369943,-0.01053
16.9043,90.9682,-0.0478565,9.7364,0.20339,0.0482905,0.0223336,-0.00808653
16.9639,91.0316,0.0502493,9.74118,-0.0119641,0.0574535,0.0235553,-0.00564307
17.0234,90.8942,0.102891,9.74357,-0.212961,0.0476797,0.00706196,-0.0123626
17.083,90.9893,-0.0502493,9.78904,-0.351745,0.0183581,0.0150032,-0.0141952
17.1416,90.9788,-0.102891,9.74597,-0.330209,-0.0121851,0.00645107,-0.00442134
